review_text,rating
Wonderful Great sounds  i love this product,5
"Mind-blowing purchase Sound quality is very good, with a nice balance of bass and clarity.",5
Fabulous! Best product i ever purchased,5
Perfect product! Great sound quality,5
Classy product Excellent sound quality with strong ANC,5
"Worth every penny The earbuds are of very good quality. The sound is amazing, and the ANC is excellent. Once you put them on, you can truly feel and enjoy the music. The only issue is that the rubber tip comes off sometimes",5
"Mind-blowing purchase Best buy at an attractive price point, super sound quality, premium look and soft material, truly an amazing earbuds",5
Brilliant Worth varama worth 🤑🤑🤑🤑🤑,5
Simply awesome NICE AND AWESOME PRODUCT,5
Highly recommended Design and fittings of earbuds is awesome 🫡,5
"Awesome I am in love with the design quality, sound and bass that too at a very reasonable price point, Noise seems made their one of the best product in audio, a must buy earbuds Master Buds2",5
"Excellent I travel lot,,, this is the best one I have ever purchased,,,just go for it,, excellent ANC and spatial sound is too good and vibrant bass and vocals ,,, this is amazing,, thank you noise,,, must buy ... more",5
Brilliant Good,5
Very Good Best in that price 👌,4
Just wow! High quality of sound,5
Excellent Sound and quality and design is too premium,5
Could be way better Good but not best.,2
Perfect product! Worth every penny spent for this product.,5
Must buy! Excellent product,5
Best in the market! excellent product,5
"Fabulous! Absolutely love the sound, excellent clarity when paired with android phone with LHDC codec, and apple music: hi-res lossless",5
Terrific purchase Noise master buds 2 have an excellent sound quality and ANC is best. It would be good if the battery capacity for the case is more.,5
Mind-blowing purchase Good product,5
Delightful Super awesome,4
Worthless Not good battery quality,1
Awesome Awesome,5
Worth the money Its a decent buy.,4
"Highly recommended The watch is extremely accurate in health activities, it calculates the steps correctly and measures the heart rate and spo2 as good vices though it isn't a replacement for medical devices prescribed ... more",5
Highly recommended Superb,5
Fabulous! Great product at class price,5
Great product Best,5
Worth every penny Excellent,5
Classy product Lovely sound fantastic battery,5
Terrific Awesome sound,5
Super! Very good sound,5
Best in the market! Very good product,5
Must buy! Great product,5
Perfect product! Best,5
Super! Best,5
Horrible this is over hyped product. Sound is not expected as sound by bose.,1
Simply awesome Nice 👍,5
Best in the market! Nice product,5
Highly recommended Noise Master Buds 2 offer premium Bose tuned audio and ANC.,5
Super! Very good and balanced sound.,5
Brilliant Super,5
Fabulous! Nice,5
"Mind-blowing purchase It has strong audio performance, effective ANC, and premium design that suits to me, sound quality is so much outstanding and real to me.",5
Just wow! Super happy with the bass quality,5
"Simply awesome Well-balanced sound paired with a sleek, modern design.",5
Did not meet expectations wrost product please don't buy this...,1
Must buy! Crisp audio with a comfortable and premium look.,5
"Just wow! Clear, immersive audio with a lightweight, premium feel.",5
"Fabulous! Clean vocals and a modern, eye-catching design.",5
Great product Balanced audio and sleek finish make these earbuds stand out.,5
"Excellent Perfect product! The sound quality is top-notch thanks to the Bose tuning. ANC is very effective, and the battery life is solid. Highly recommend if you want premium features without the premium price tag.",5
Simply awesome Best product,5
Must buy! Best,5
Best in the market! Great,5
Worth every penny Good,5
Excellent It is Good,5
Hated it! The sound quality is not good.  Please mot bye this product,1
Terrific Battery backup is strong and lasts long on a single charge.,5
"Fabulous! Overall, it has a premium feel and is a value for money product.",5
"Terrific Calling quality is clear, and the mic performs well",5
Perfect product! Very good,5
Must buy! Best one for music lovers,5
Bad quality No much Bass,2
Wonderful Good quality .sound is very amazing ..ANC IS MIND BLowing ....value for money,5
Fabulous! Very good,5
Fabulous! Best Sound in budget.,5
Classy product Sound quality is marvellous.. immersive sound experience,5
Excellent Beyond expectations..... Really awesome... Loving the sound,5
Fabulous! Impressed by tha quality of sound .... Like awesome product,5
Great product Out of nowhere.. Best ANC in this segment 😎,5
